file;emitter;name;placa_extraida;placa_confianca;placa_origem;hodometro_extraido;hodometro_confianca;hodometro_origem
15260512852447000178550010003572091006833633.xml;12852447000178;POSTO TREVAO CACHOEIRA DA SERRA;RAQ5F96;70;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 39715006 - NAIARA LEITE DO NASCIMENTO Pedidos: 796872, PIX BANCARIO , PLACA: RAQ5F96/MT, HORIMETRO: , KM: 414457, MOTORISTA: CLOVES, Frentist;414457;105;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 39715006 - NAIARA LEITE DO NASCIMENTO Pedidos: 796872, PIX BANCARIO , PLACA: RAQ5F96/MT, HORIMETRO: , KM: 414457, MOTORISTA: CLOVES, Frentista(s): [40839006-JOVENILDO BARBOSA CALDAS ] Valor Aprox. Trib: 101,89 Fed.198,81 Est. Fonte: IBPT 26.
15260534453861000147550540000173011007777891.xml;34453861000147;POSTO PLANALTO;RAQ5F96;98;RESUMO PAGAMENTO: 1024,50|  - DEPOSITO: R$ 1024,50|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 175,50-Sequencia:777789 -Terminal:CAIXA_4 -Op:KARINA C:102730 E:102968 -Placa:RAQ5F96|Trib aprox R$85,03 Fed, R$181,34 Est, R$0,00 Mun/Fonte IBPT|MP 1;;0;
15260536350167000120550120000258241004582951.xml;36350167000120;POSTO MIMOSO;RAT8F79;70;RESUMO PAGAMENTO: 819,54|  - DEPOSITO: R$ 819,54|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 147,29-Sequencia:458295 -Terminal:PDV2 -Op:SANDRA C:283 E:283 -Placa:RAT8F79 -km:469852 -media:37.27 k/l|Trib aprox R$68,02 Fed, R$145,06 Est, R$0,00 Mu;469852;105;RESUMO PAGAMENTO: 819,54|  - DEPOSITO: R$ 819,54|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 147,29-Sequencia:458295 -Terminal:PDV2 -Op:SANDRA C:283 E:283 -Placa:RAT8F79 -km:469852 -media:37.27 k/l|Trib aprox R$68,02 Fed, R$145,06 Est, R$0,00 Mun/Fonte IBPT|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alteracao no PIS/COFINS
15260536350167000120550120000259721004590418.xml;36350167000120;POSTO MIMOSO;RAT8F79;70;RESUMO PAGAMENTO: 1041,60|  - DEPOSITO: R$ 1041,60|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 187,20-Sequencia:459041 -Terminal:PDV2 -Op:SANDRA C:283 E:283 -Placa:RAT8F79 -km:470338 -media:3.04 k/l|Trib aprox R$86,45 Fed, R$184,36 Est, R$0,00 M;470338;105;RESUMO PAGAMENTO: 1041,60|  - DEPOSITO: R$ 1041,60|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 187,20-Sequencia:459041 -Terminal:PDV2 -Op:SANDRA C:283 E:283 -Placa:RAT8F79 -km:470338 -media:3.04 k/l|Trib aprox R$86,45 Fed, R$184,36 Est, R$0,00 Mun/Fonte IBPT|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alteracao no PIS/COFINS
15260536350167000120550120000260341004593608.xml;36350167000120;POSTO MIMOSO;RAU3I63;70;RESUMO PAGAMENTO: 1564,92|  - DEPOSITO: R$ 1564,92|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 284,31-Sequencia:459360 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAU3I63 -km:466997 -media:10.95 k/l|Trib aprox R$129,89 Fed, R$276,99 Est, R$0;466997;105;RESUMO PAGAMENTO: 1564,92|  - DEPOSITO: R$ 1564,92|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 284,31-Sequencia:459360 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAU3I63 -km:466997 -media:10.95 k/l|Trib aprox R$129,89 Fed, R$276,99 Est, R$0,00 Mun/Fonte IBPT|OBS:D. BARBIERO  CIA LTDA|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem al
15260536350167000120550120000263691004610059.xml;36350167000120;POSTO MIMOSO;RAT8F79;70;RESUMO PAGAMENTO: 1043,28|  - DEPOSITO: R$ 1043,28|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 189,54-Sequencia:461005 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAT8F79 -km:471778 -media:8.89 k/l|Trib aprox R$86,59 Fed, R$184,66 Est, R$0,0;471778;105;RESUMO PAGAMENTO: 1043,28|  - DEPOSITO: R$ 1043,28|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 189,54-Sequencia:461005 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAT8F79 -km:471778 -media:8.89 k/l|Trib aprox R$86,59 Fed, R$184,66 Est, R$0,00 Mun/Fonte IBPT|OBS:D. BARBIERO E CIA LTDA|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alt
15260536350167000120550120000264941004615822.xml;36350167000120;POSTO MIMOSO;RAT8F79;70;RESUMO PAGAMENTO: 322,00|  - DEPOSITO: R$ 322,00|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 58,50-Sequencia:461582 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAT8F79 -km:472301 -media:10.46 k/l|Trib aprox R$26,73 Fed, R$56,99 Est, R$0,00 M;472301;105;RESUMO PAGAMENTO: 322,00|  - DEPOSITO: R$ 322,00|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 58,50-Sequencia:461582 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAT8F79 -km:472301 -media:10.46 k/l|Trib aprox R$26,73 Fed, R$56,99 Est, R$0,00 Mun/Fonte IBPT|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alteracao no PIS/COFINS
15260612852447000178550010003664841006959406.xml;12852447000178;POSTO TREVAO CACHOEIRA DA SERRA;RAQ5F96;70;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 27973006 - ALINE TAINA DO NASCIMENTO RODR Pedidos: 815876, PIX BANCARIO , PLACA: RAQ5F96/MT, HORIMETRO: , KM: 427429, MOTORISTA: avista, Fren;427429;105;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 27973006 - ALINE TAINA DO NASCIMENTO RODR Pedidos: 815876, PIX BANCARIO , PLACA: RAQ5F96/MT, HORIMETRO: , KM: 427429, MOTORISTA: avista, Frentista(s): [44590006-RIAN ABREU DOS SANTOS] Valor Aprox. Trib: 118,46 Fed.239,13 Est. Fonte: IBPT 26.
15260612852447000178550010003680051006979184.xml;12852447000178;POSTO TREVAO CACHOEIRA DA SERRA;RAU3I63;70;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 27973006 - ALINE TAINA DO NASCIMENTO RODR Pedidos: 818828, PIX BANCARIO , PLACA: RAU3I63/MT, HORIMETRO: , KM: 477033, MOTORISTA: avista, MEDI;477033;105;PROCON - TELEFONE: 151 OU (91) 3073-2827 - TRAVESSA LOMAS VALENTINAS , N 1.150 - BAIRRO: PEDREIRA - BELEM - PARA - CEP: 66.087-441 Cliente: 13966005 Vendedor: 27973006 - ALINE TAINA DO NASCIMENTO RODR Pedidos: 818828, PIX BANCARIO , PLACA: RAU3I63/MT, HORIMETRO: , KM: 477033, MOTORISTA: avista, MEDIA KM/L: 157,17, Frentista(s): [41462006-JOSE ALAN PEREIRA COELHO] Valor Aprox. Trib: 65,04 Fed.138,7
15260612852447000259550910000205321251455246.xml;12852447000259;POSTO TREVAO CACHOEIRA DA SERRA LTDA;RAT8F79;98;Trib aprox R$ 69,42 Fed | R$ 148,04 Est | R$ 0,00 Mun | Fonte IBPT(26.1.K) | Caixa: 1481 | Funcionario: 54 - IRLANE DA SILVA DE OLIVEIRA | Frentistas: 54 | Placa: RAT8F79 | KM: 475500 | ECONOMIA DE: R$ 24,64 | Forma de Pagamento: | PIX BRADESCO: R$ 836,39 | ICMS MONOFASICO COBRADO ANTERIORMENTE CONF;475500;105;Trib aprox R$ 69,42 Fed | R$ 148,04 Est | R$ 0,00 Mun | Fonte IBPT(26.1.K) | Caixa: 1481 | Funcionario: 54 - IRLANE DA SILVA DE OLIVEIRA | Frentistas: 54 | Placa: RAT8F79 | KM: 475500 | ECONOMIA DE: R$ 24,64 | Forma de Pagamento: | PIX BRADESCO: R$ 836,39 | ICMS MONOFASICO COBRADO ANTERIORMENTE CONFORME CONVENIO ICMS 199/2022 | DS - DIESEL S10 ADITIVADO COM QUANTIDADE DE BASE DE CALCULO DE ICMS MO
